Company Name,Business Type,Phone,City,Website URL,Status,Email Sent,SMS Sent,Called,Date Contacted,Follow-Up Date,Response Notes,Deal Value,Priority
Intermountain Kitchen and Bath Design,Kitchen remodeler,+1 801-548-0160,Utah,[YOUR DOMAIN]/companies/intermountain-kitchen-and-bath-design.html,New Lead,No,No,No,,,,,Medium
Joshua & Sons Electricians Company,Electrician,+1 385-348-4906,Utah,[YOUR DOMAIN]/companies/joshua-sons-electricians-company.html,New Lead,No,No,No,,,,,Medium
Ramirez Brothers Electricians,Electrician,+1 385-330-4243,Utah,[YOUR DOMAIN]/companies/ramirez-brothers-electricians.html,New Lead,No,No,No,,,,,Medium
First Choice Home Electrician Salt Lake City,Electrician,+1 801-657-4857,"Salt Lake City, UT",[YOUR DOMAIN]/companies/first-choice-home-electrician-salt-lake-city.html,New Lead,No,No,No,,,,,Medium
Utah Electric Co,Electrician,+1 801-998-8527,Utah,[YOUR DOMAIN]/companies/utah-electric-co.html,New Lead,No,No,No,,,,,Medium
Electrician Salt Lake City,Electrician,+1 801-516-3723,"Salt Lake City, UT",[YOUR DOMAIN]/companies/electrician-salt-lake-city.html,New Lead,No,No,No,,,,,Medium
Falcon Electric LLC,Electrician,+1 801-486-0185,Utah,[YOUR DOMAIN]/companies/falcon-electric-llc.html,New Lead,No,No,No,,,,,Medium
Any Electrical Co,Electrician,+1 801-888-2772,Utah,[YOUR DOMAIN]/companies/any-electrical-co.html,New Lead,No,No,No,,,,,Medium
Velmex USA Electrical & Mechanical Repair,Auto repair shop,+1 385-259-9079,Utah,[YOUR DOMAIN]/companies/velmex-usa-electrical-mechanical-repair.html,New Lead,No,No,No,,,,,Medium
Cedar City Electric Contractors,Electrician,+1 435-592-0063,"Cedar City, UT",[YOUR DOMAIN]/companies/cedar-city-electric-contractors.html,New Lead,No,No,No,,,,,Medium
Elkhorn Construction,General contractor,+1 801-690-6860,Utah,[YOUR DOMAIN]/companies/elkhorn-construction.html,New Lead,No,No,No,,,,,Medium
Crimson Rock Construction,General contractor,+1 801-859-8764,Utah,[YOUR DOMAIN]/companies/crimson-rock-construction.html,New Lead,No,No,No,,,,,Medium
Ram Construction,General contractor,+1 801-298-2262,Utah,[YOUR DOMAIN]/companies/ram-construction.html,New Lead,No,No,No,,,,,Medium
Affordable Drywall Repair Salt Lake City,Drywall contractor,+1 801-801-4090,"Salt Lake City, UT",[YOUR DOMAIN]/companies/affordable-drywall-repair-salt-lake-city.html,New Lead,No,No,No,,,,,Medium
Salt Lake City Service,Water damage restoration,+1 385-480-1052,"Salt Lake City, UT",[YOUR DOMAIN]/companies/salt-lake-city-service.html,New Lead,No,No,No,,,,,Medium
Viana's Services,Handyman,+1 801-231-0571,Utah,[YOUR DOMAIN]/companies/viana-s-services.html,New Lead,No,No,No,,,,,Medium
Simmons Construction & Contracting,General contractor,+1 435-313-9146,Utah,[YOUR DOMAIN]/companies/simmons-construction-contracting.html,New Lead,No,No,No,,,,,Medium
Davis & Sons Electrical,Electrician,+1 801-935-1221,Utah,[YOUR DOMAIN]/companies/davis-sons-electrical.html,New Lead,No,No,No,,,,,Medium
Edmonds Handyman Services,Handyman,+1 707-601-3080,Utah,[YOUR DOMAIN]/companies/edmonds-handyman-services.html,New Lead,No,No,No,,,,,Medium
Next Level Refinishing,Bathroom remodeler,+1 801-633-4814,Utah,[YOUR DOMAIN]/companies/next-level-refinishing.html,New Lead,No,No,No,,,,,Medium
Safeway Electric,Electrician,+1 385-600-6109,Utah,[YOUR DOMAIN]/companies/safeway-electric.html,New Lead,No,No,No,,,,,Medium
Electrical Consulting Engineers LLC,Electrical installation service,+1 801-521-8007,Utah,[YOUR DOMAIN]/companies/electrical-consulting-engineers-llc.html,New Lead,No,No,No,,,,,Medium
Trejos Mobile Mechanic,Auto repair shop,+1 702-372-3901,Utah,[YOUR DOMAIN]/companies/trejos-mobile-mechanic.html,New Lead,No,No,No,,,,,Medium
Mortenson Electric Inc,Electrician,+1 435-757-6500,Utah,[YOUR DOMAIN]/companies/mortenson-electric-inc.html,New Lead,No,No,No,,,,,Medium
Stateline Electric,Electrician,+1 435-279-7626,Utah,[YOUR DOMAIN]/companies/stateline-electric.html,New Lead,No,No,No,,,,,Medium
Custom Built Woodworks LLC,Contractor,+1 801-388-9583,Utah,[YOUR DOMAIN]/companies/custom-built-woodworks-llc.html,New Lead,No,No,No,,,,,Medium
Gary Tolman Construction,Home builder,+1 801-776-4668,Utah,[YOUR DOMAIN]/companies/gary-tolman-construction.html,New Lead,No,No,No,,,,,Medium
Bell-Built Homes,Home builder,+1 801-458-1685,Utah,[YOUR DOMAIN]/companies/bell-built-homes.html,New Lead,No,No,No,,,,,Medium
Handyman Direct LLC,Handyman,+1 801-759-3773,Utah,[YOUR DOMAIN]/companies/handyman-direct-llc.html,New Lead,No,No,No,,,,,Medium
West Coast Refinishing Tub LLC,Bathroom remodeler,+1 801-243-5569,Utah,[YOUR DOMAIN]/companies/west-coast-refinishing-tub-llc.html,New Lead,No,No,No,,,,,Medium
KV Construction,General contractor,+1 435-680-0664,Utah,[YOUR DOMAIN]/companies/kv-construction.html,New Lead,No,No,No,,,,,Medium
TILEDGE,Tile contractor,+1 435-282-0543,Utah,[YOUR DOMAIN]/companies/tiledge.html,New Lead,No,No,No,,,,,Medium
Infinite Tile And Stone,Tile contractor,+1 435-375-8452,Utah,[YOUR DOMAIN]/companies/infinite-tile-and-stone.html,New Lead,No,No,No,,,,,Medium
Salt Creek Builders LLC,Kitchen remodeler,+1 801-641-5300,Utah,[YOUR DOMAIN]/companies/salt-creek-builders-llc.html,New Lead,No,No,No,,,,,Medium
Color Country Electric,Electrician,+1 435-680-8898,Utah,[YOUR DOMAIN]/companies/color-country-electric.html,New Lead,No,No,No,,,,,Medium
